Date,Price,Open,High,Low,Vol.,Change %
11/29/2018,101.22,100.41,101.71,100.28,3.26M,0.12%
11/30/2018,101.47,101.01,101.49,100.39,4.67M,0.25%
12/03/18,100.64,101.51,101.73,99.5,6.01M,-0.82%
12/04/18,98.87,100.64,100.95,98.73,5.42M,-1.76%
12/06/18,97.98,97.47,99.1,96.03,5.03M,-0.90%
12/07/18,95.85,97.7,98.57,95.53,5.39M,-2.17%
12/10/18,96.01,96.28,96.59,94.55,3.47M,0.17%
12/11/18,96.42,97.08,97.54,95.7,4.50M,0.43%
12/12/18,96.93,97.62,97.97,96.85,4.12M,0.53%
12/13/2018,98.95,97.09,99.18,97.09,8.43M,2.08%
12/14/2018,98.22,99.87,99.98,97.76,8.03M,-0.74%
12/17/2018,96.64,97.4,97.66,96.26,6.95M,-1.61%
12/18/2018,95.03,97.21,97.73,94.53,6.04M,-1.67%
12/19/2018,95.8,94.98,97.7,94.6,12.74M,0.81%
12/20/2018,92.33,95.57,95.87,92.11,31.61M,-3.62%
